Number	Name	IsActive			
0	DOLGOROČNA SREDSTVA	  			
00	NEOPREDMETNA SREDSTVA IN DOLGOROČNE AKTIVNE ČASOVNE RAZMEJITVE	  			
000	DOBRO IME	 Da			
001	USREDSTVENI STROŠKI NALOŽB V TUJA OPREDMETENA OSNOVNA SREDSTVA	 Da			
002	ODLOŽENI STROŠKI RAZVIJANJA	 Da			
003	PREMOŽENJSKE IN DRUGE PRAVICE	 Da			
005	DRUGA NEOPREDMETENA SREDSTVA	 Da			
0050	DRUGA NEOPREDMETENA SREDSTVA	 Da			
007	DOLGOROČNE AKTIVNE ČASOVNE RAZMEJITVE	 Da			
008	POPRAVEK VREDNOSTI NEOPREDMETENIH SREDSTEV ZARADI AMORTIZIRANJA	 Da			
0080	POPRAVEK VREDNOSTI NEOPREDMETENIH SREDSTEV ZARADI AMORTIZIRANJA	 Da			  
0085	POPRAVEK VREDNOSTI NEOPREDMETENIH SREDSTEV ZARADI AMORTIZIRANJA	 Da			
009	OSLABITEV VREDNOSTI NEOPREDMETENIH SREDSTEV	 Da			
01	NALOŽBENE NEPREMIČNINE	  			
010	NALOŽBENE NEPREMIČNINE, VREDNOTENE PO MODELU NABAVNE VREDNOSTI	 Da			
0100	NALOŽBENE NEPREMIČNINE	 Da			
011	NALOŽBENE NEPREMIČNINE, VREDNOTENE PO MODELU POŠTENE VREDNOSTI	 Da			
015	POPRAVEK VREDNOSTI NALOŽBENIH NEPREMIČNIN ZARADI AMORTIZIRANJA	 Da			
0150	POPRAVEK VREDNOSTI NALOŽBENIH NEPREMIČNIN ZARADI AMORTIZIRANJA	 Da			
017	NALOŽBENE NEPREMIČNINE V GRADNJI OZIROMA IZDELAVI	 Da			
019	OSLABITEV VREDNOSTI NALOŽBENIH NEPREMIČNIN	 Da			
02	NEPREMIČNINE	  			
020	ZEMLJIŠČA,VREDNOTENA PO MODELU NABAVNE VREDNOSTI	 Da			
0200	ZEMLJIŠČA	 Da			
0201	PREVREDNOTENJE ZEMLJIŠČ ZARADI OKREPITVE	 Da			  
0202	PREVREDNOTENJE ZEMLJIŠČ ZARADI OSLABITVE	 Da			  
021	ZGRADBE,VREDNOTENE PO MODELU NABAVNE VREDNOSTI	 Da			
0210	ZGRADBE	 Da			
0211	ZGRADBE-LEASING	 Da			
0212	PREVREDNOTENJE ZGRADB ZARADI OSLABITVE	 Da			  
022	ZEMLJIŠČA, VREDNOTENA PO MODELU REVALORIZIRANJA	 Da			
0220	ZEMLJIŠČA, VREDNOTENA PO MODELU PREVREDNOTENJA	 Da			
023	ZGRADBE, VREDNOTENE PO MODELU REVALORIZIRANJA	 Da			
0230	ZGRADBE, VREDNOTENE PO MODELU PREVREDNOTENJA	 Da			
026	VLAGANJA V NEPREMIČNINE  V TUJI LASTI	 Da			
027	NEPREMIČNINE V GRADNJI OZIROMA IZDELAVI	 Da			
0270	NEPREMIČNINE V GRADNJI OZIROMA IZDELAVI	 Da			
03	POPRAVEK IN OSLABITEV VREDNOSTI NEPREMIČNIN	  			
031	OSLABITEV VREDNOSTI ZEMLJIŠČ	 Da			
0310	POPRAVEK VREDNOSTI ZGRADB ZARADI AMORTIZIRANJA	 Da			  
0311	POPRAVEK VREDNOSTI ZGRADB ZARADI OKREPITVE	 Da			  
0312	POPRAVEK VREDNOSTI ZGRADB ZARADI OSLABITVE	 Da			  
032	POPRAVEK VREDNOSTI ZEMLJIŠČ (KAMNOLOMOV, ODLAG. ODPADKOV) ZARADI AMORTIZIRANJA	 Da			
035	POPRAVEK VREDNOSTI ZGRADB ZARADI AMORTIZIRANJA	 Da			
0350	POPRAVEK VREDNOSTI ZGRADB	 Da			
0351	POPRAVEK VREDNOSTI ZGRADB-LEASING	 Da			
036	POPRAVEK VREDNOSTI VLAGANJ V NEPREMIČNINE V TUJI LASTI	 Da			
039	OSLABITEV VREDNOSTI ZGRADB	 Da			
04	OPREMA IN DRUGA OPREDMETENA OSNOVNA SREDSTVA	  			
040	OPREMA IN NADOMESTNI DELI,VREDNOTENI PO MODELU NABAVNE VREDNOSTI	 Da			
0400	OPREMA IN NADOMESTNI DELI	 Da			
0401	OPREMA IN NADOMESTNI DELI-LEASING	 Da			
0402	PREVREDNOTENJE OPREME IN NADOMESTNIH DELOV ZARADI OSLABITVE	 Da			  
041	DROBNI INVENTAR	 Da			
0410	DROBNI INVENTAR	 Da			
042	OPREMA IN NADOMESTNI DELI, VREDNOTENI PO MODELU PREVREDNOTENJA	Da	  		  
043	BIOLOŠKA SREDSTVA - VEČLETNI NASADI	 Da			
044	BIOLOŠKA SREDSTVA - OSNOVNA ČREDA	 Da			
045	DRUGA OPREDMETENA OSNOVNA SREDSTVA	 Da			
0450	DRUGA OPREDMETENA OSNOVNA SREDSTVA	 Da			
0451	DRUGA OPREDMETENA OSNOVNA SREDSTVA-LEASING	 Da			
046	VLAGANJA V OPREDMETENA SREDSTVA V TUJI LASTI	 Da			
047	OPREMA IN DRUGA OPREDMETENA OSNOVNA SREDSTVA V GRADNJI OZIROMA IZDELAVI	 Da			
048	UMETNIŠKA DELA IN DRUGI PREDMETI KULTURNE IN/ALI ZGODOVINSKE VREDNOSTI, KI SE NE AMORTIZIRAJO	 Da			
05	POPRAVEK IN OSLABITEV VREDNOSTI OPREME IN DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV	  			
050	POPRAVEK VREDNOSTI OPREME IN NADOMESTNIH DELOV ZARADI AMORTIZIRANJA	 Da			
0500	POPRAVEK VREDNOSTI OPREME IN NADOMESTNIH DELOV	 Da			
0501	POPRAVEK VREDNOSTI OPREME IN NADOMESTNIH DELOV-LEASING	 Da			
051	POPRAVEK VREDNOSTI DROBNEGA INVENTARJA ZARADI AMORTIZIRANJA	 Da			
0510	POPRAVEK VREDNOSTI DROBNEGA INVENTARJA	 Da			
052	OSLABITEV VREDNOSTI OPREME IN NADOMESTNIH DELOV	 Da			
053	POPRAVEK VREDNOSTI BIOLOŠKIH SREDSTEV - VEČLETNIH NASADOV ZARADI AMORTIZIRANJA	 Da			
054	POPRAVEK VREDNOSTI BIOLOŠKIH SREDSTEV - OSNOVNE ČREDE ZARADI AMORTIZIRANJA	 Da			
055	POPRAVEK VREDNOSTI DRUGIH OPREDMETRENIH OSNOVNIH SREDSTEV  ZARADI AMORTIZIRANJA	 Da			
0550	POPRAVEK VREDNOSTI DRUGIH OPREDMETRENIH OSNOVNIH SREDSTEV	 Da			
0551	POPRAVEK VREDNOSTI DRUGIH OPREDMETRENIH OSNOVNIH SREDSTEV-LEASING	 Da			
056	POPRAVEK VREDNOSTI VLAGANJ V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI	 Da			
058	OSLABITEV VREDNOSTI BIOLOŠKIH SREDSTEV	 Da			
059	OSLABITEV VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV	 Da			
06	DOLGOROČNE FINANČNE NALOŽBE, RAZEN POSOJIL	  			
