CodeInternational	Code	Name	CountryN3Code
SI-1000	1000	Ljubljana	705
SI-1001	1001	Ljubljana - P.P.	705
SI-1002	1002	Pošta Slovenije, PE PLC	705
SI-1210	1210	Ljubljana - Šentvid	705
SI-1211	1211	Ljubljana - Šmartno	705
SI-1215	1215	Medvode	705
SI-1216	1216	Smlednik	705
SI-1217	1217	Vodice	705
SI-1218	1218	Komenda	705
SI-1219	1219	Laze v Tuhinju	705
SI-1221	1221	Motnik	705
SI-1222	1222	Trojane	705
SI-1223	1223	Blagovica	705
SI-1225	1225	Lukovica	705
SI-1230	1230	Domžale	705
SI-1231	1231	Ljubljana - Črnuče	705
SI-1233	1233	Dob	705
SI-1234	1234	Mengeš	705
SI-1235	1235	Radomlje	705
SI-1236	1236	Trzin	705
SI-1241	1241	Kamnik	705
SI-1242	1242	Stahovica	705
SI-1251	1251	Moravče	705
SI-1252	1252	Vače	705
SI-1260	1260	Ljubljana - Polje	705
SI-1261	1261	Ljubljana - Dobrunje	705
SI-1262	1262	Dol pri Ljubljani	705
SI-1270	1270	Litija	705
SI-1272	1272	Polšnik	705
SI-1273	1273	Dole pri Litiji	705
SI-1274	1274	Gabrovka	705
SI-1275	1275	Šmartno pri Litiji	705
SI-1276	1276	Primskovo 	705
SI-1281	1281	Kresnice	705
SI-1282	1282	Sava	705
SI-1290	1290	Grosuplje	705
SI-1291	1291	Škofljica	705
SI-1292	1292	Ig	705
SI-1293	1293	Šmarje - Sap	705
SI-1294	1294	Višnja Gora	705
SI-1295	1295	Ivančna Gorica	705
SI-1296	1296	Šentvid pri Stični	705
SI-1301	1301	Krka	705
SI-1303	1303	Zagradec	705
SI-1310	1310	Ribnica	705
SI-1311	1311	Turjak	705
SI-1312	1312	Videm - Dobrepolje	705
SI-1313	1313	Struge	705
SI-1314	1314	Rob	705
SI-1315	1315	Velike Lašče	705
SI-1316	1316	Ortnek	705
SI-1317	1317	Sodražica	705
SI-1318	1318	Loški Potok	705
SI-1319	1319	Draga	705
SI-1330	1330	Kočevje	705
SI-1331	1331	Dolenja vas	705
SI-1332	1332	Stara Cerkev	705
SI-1336	1336	Kostel	705
SI-1337	1337	Osilnica	705
SI-1338	1338	Kočevska Reka	705
SI-1351	1351	Brezovica pri Ljubljani	705
SI-1352	1352	Preserje	705
SI-1353	1353	Borovnica	705
SI-1354	1354	Horjul	705
SI-1355	1355	Polhov Gradec	705
SI-1356	1356	Dobrova	705
SI-1357	1357	Notranje Gorice	705
SI-1358	1358	Log pri Brezovici	705
SI-1360	1360	Vrhnika	705
SI-1370	1370	Logatec	705
SI-1371	1371	Logatec	705
SI-1372	1372	Hotedršica	705
SI-1373	1373	Rovte	705
SI-1380	1380	Cerknica	705
SI-1381	1381	Rakek	705
SI-1382	1382	Begunje pri Cerknici	705
SI-1384	1384	Grahovo	705
SI-1385	1385	Nova vas	705
SI-1386	1386	Stari trg pri Ložu	705
SI-1410	1410	Zagorje ob Savi	705
SI-1411	1411	Izlake	705
SI-1412	1412	Kisovec	705
SI-1413	1413	Čemšenik	705
SI-1414	1414	Podkum	705
SI-1420	1420	Trbovlje	705
SI-1423	1423	Dobovec	705
SI-1430	1430	Hrastnik	705
SI-1431	1431	Dol pri Hrastniku	705
SI-1432	1432	Zidani Most	705
SI-1433	1433	Radeče	705
SI-1434	1434	Loka pri Zidanem Mostu	705
SI-1501	1501	Ministrstvo za notranje zadeve	705
SI-1502	1502	Ministrstvo za finance	705
SI-1503	1503	Okrožno sodišče v Ljubljani	705
SI-1504	1504	Gospodarska zbornica Slovenije	705
SI-1505	1505	Banka Slovenije	705
SI-1506	1506	Slovenske železnice	705
SI-1507	1507	ZZZS, Zavod za zdrav. zav. Slov.	705
SI-1509	1509	Delo	705
SI-1510	1510	Dnevnik	705
SI-1511	1511	Slovenijales	705
SI-1512	1512	Cankarjeva založba	705
SI-1513	1513	SKB banka	705
SI-1514	1514	Kompas	705
SI-1516	1516	Elektro Ljubljana	705
SI-1517	1517	Abanka Vipa	705
SI-1518	1518	ZPIZ, Zavod za pokoj. in inval. zav. Slov.	705
SI-1519	1519	SPL Ljubljana	705
SI-1520	1520	Nova Ljubljanska banka	705
SI-1521	1521	Iskra Invest	705
SI-1522	1522	Chemo	705
SI-1523	1523	Carinska uprava Republike Slovenije	705
SI-1524	1524	Carinarnica Ljubljana	705
SI-1525	1525	Klinični center Ljubljana	705
SI-1526	1526	Lek	705
SI-1527	1527	Petrol	705
SI-1528	1528	Emona	705
SI-1529	1529	Žito	705
SI-1532	1532	Salamonov oglasnik	705
SI-1533	1533	BTC	705
SI-1534	1534	Okrajno sodišče v Ljubljani	705
SI-1535	1535	Ministrstvo za promet	705
SI-1536	1536	Mladinska knjiga Založba	705
SI-1537	1537	Mobitel	705
SI-1538	1538	DZS	705
SI-1540	1540	EPPS - Elektronsko pismo Pošte Slovenije	705
SI-1542	1542	KDD - Centralna klirinško depotna družba	705
SI-1543	1543	Športna loterija	705
SI-1544	1544	Droga Kolinska 	705
SI-1545	1545	Kanal A	705
SI-1546	1546	Telekom Slovenije	705
SI-1547	1547	Telekom Slovenije, PE Ljubljana	705
SI-1550	1550	RTV Slovenija	705
SI-1600	1600	Pošta Slovenije, PE Ljubljana	705
SI-2000	2000	Maribor 	705
SI-2001	2001	Maribor - P.P.	705
SI-2002	2002	Pošta Slovenije, PE PLC Maribor	705
SI-2201	2201	Zgornja Kungota	705
SI-2204	2204	Miklavž na Dravskem polju	705
SI-2205	2205	Starše	705
SI-2206	2206	Marjeta na Dravskem polju	705
SI-2208	2208	Pohorje	705
SI-2211	2211	Pesnica pri Mariboru	705
SI-2212	2212	Šentilj v Slovenskih goricah	705
SI-2213	2213	Zgornja Velka	705
SI-2214	2214	Sladki Vrh	705
SI-2215	2215	Ceršak	705
SI-2221	2221	Jarenina	705
SI-2222	2222	Jakobski Dol	705
SI-2223	2223	Jurovski Dol	705
SI-2229	2229	Malečnik	705
SI-2230	2230	Lenart v Slovenskih goricah	705
SI-2231	2231	Pernica	705
SI-2232	2232	Voličina	705
SI-2233	2233	Sv. Ana v Slovenskih goricah	705
SI-2234	2234	Benedikt	705
SI-2235	2235	Sv. Trojica v Slovenskih goricah	705
SI-2236	2236	Cerkvenjak	705
SI-2241	2241	Spodnji Duplek	705
SI-2242	2242	Zgornja Korena	705
SI-2250	2250	Ptuj	705
SI-2252	2252	Dornava	705
SI-2253	2253	Destrnik	705
SI-2254	2254	Trnovska vas	705
SI-2255	2255	Vitomarci	705
SI-2256	2256	Juršinc	705
SI-2257	2257	Polenšak	705
SI-2258	2258	Sveti Tomaž	705
SI-2259	2259	Ivanjkovci	705
SI-2270	2270	Ormož	705
SI-2272	2272	Gorišnica	705
SI-2273	2273	Podgorci	705
SI-2274	2274	Velika Nedelja	705
SI-2275	2275	Miklavž pri Ormožu	705
SI-2276	2276	Kog	705
SI-2277	2277	Središče ob Dravi	705
SI-2281	2281	Markovci	705
SI-2282	2282	Cirkulane	705
SI-2283	2283	Zavrč	705
SI-2284	2284	Videm pri Ptuju	705
SI-2285	2285	Zgornji Leskovec	705
SI-2286	2286	Podlehnik	705
SI-2287	2287	Žetale	705
SI-2288	2288	Hajdina	705
SI-2289	2289	Stoperce	705
SI-2310	2310	Slovenska Bistrica	705
SI-2311	2311	Hoče	705
SI-2312	2312	Orehova vas	705
SI-2313	2313	Fram	705
SI-2314	2314	Zgornja Polskava	705
SI-2315	2315	Šmartno na Pohorju	705
SI-2316	2316	Zgornja Ložnica	705
SI-2317	2317	Oplotnica	705
SI-2318	2318	Laporje	705
SI-2319	2319	Poljčane	705
SI-2321	2321	Makole	705
SI-2322	2322	Majšperk	705
SI-2323	2323	Ptujska Gora	705
SI-2324	2324	Lovrenc na Dravskem polju	705
